lamda;cuentas
372.46;778.35
372.60;780.00
372.73;779.75
372.86;777.70
372.99;772.10
373.12;769.45
373.25;769.50
373.38;772.85
373.51;770.60
373.64;778.10
373.77;778.60
373.90;777.75
374.03;777.35
374.16;780.10
374.30;782.30
374.43;785.35
374.56;786.85
374.69;784.85
374.82;782.90
374.95;781.95
375.08;782.45
375.21;782.75
375.34;784.55
375.47;789.25
375.60;789.55
375.73;788.70
375.86;787.80
375.99;786.05
376.13;784.00
376.26;782.20
376.39;782.10
376.52;779.75
376.65;777.65
376.78;776.20
376.91;774.60
377.04;776.15
377.17;780.80
377.30;780.70
377.43;778.90
377.56;780.25
377.69;778.85
377.82;777.80
377.95;779.35
378.09;780.95
378.22;780.05
378.35;778.25
378.48;781.70
378.61;786.45
378.74;790.45
378.87;789.55
379.00;791.25
379.13;786.70
379.26;784.80
379.39;779.10
379.52;778.90
379.65;779.15
379.78;777.35
379.91;776.80
380.04;781.50
380.17;782.70
380.31;780.55
380.44;788.50
380.57;792.65
380.70;789.55
380.83;788.95
380.96;786.95
381.09;781.15
381.22;779.10
381.35;782.65
381.48;782.45
381.61;790.70
381.74;795.15
381.87;792.00
382.00;790.10
382.13;792.95
382.26;787.90
382.39;783.25
382.52;784.45
382.65;784.75
382.78;783.00
382.91;782.50
383.05;784.40
383.18;788.15
383.31;790.40
383.44;791.35
383.57;794.60
383.70;790.40
383.83;789.05
383.96;787.50
384.09;785.65
384.22;783.25
384.35;787.60
384.48;785.20
384.61;779.40
384.74;780.50
384.87;783.45
385.00;786.35
385.13;790.35
385.26;795.20
385.39;794.20
385.52;791.80
385.65;786.35
385.78;782.90
385.91;782.70
386.04;783.50
386.17;783.05
386.30;783.80
386.43;782.05
386.57;785.60
386.70;788.90
386.83;790.95
386.96;798.05
387.09;802.00
387.22;796.70
387.35;792.25
387.48;789.35
387.61;788.90
387.74;792.20
387.87;798.25
388.00;799.70
388.13;804.70
388.26;800.80
388.39;795.60
388.52;793.70
388.65;796.70
388.78;796.75
388.91;797.35
389.04;803.55
389.17;802.20
389.30;797.70
389.43;794.10
389.56;791.15
389.69;789.50
389.82;790.00
389.95;793.05
390.08;792.80
390.21;798.20
390.34;791.25
390.47;791.95
390.60;792.95
390.73;795.35
390.86;794.70
390.99;799.35
391.12;796.80
391.25;795.70
391.38;797.20
391.51;794.40
391.64;796.45
391.77;797.40
391.90;797.30
392.03;796.85
392.16;803.55
392.29;802.55
392.42;805.25
392.55;802.70
392.68;804.85
392.81;802.45
392.94;798.35
393.07;797.00
393.20;800.05
393.33;795.85
393.46;793.55
393.59;801.10
393.72;805.35
393.85;803.85
393.98;803.50
394.11;805.70
394.24;802.75
394.37;795.30
394.50;795.90
394.63;796.50
394.76;790.45
394.89;788.95
395.02;794.05
395.15;798.35
395.28;799.20
395.41;802.90
395.54;801.70
395.67;800.55
395.80;797.50
395.93;798.30
396.06;796.75
396.19;799.45
396.32;803.60
396.45;807.05
396.58;808.35
396.71;811.25
396.84;813.55
396.97;809.20
397.10;806.30
397.23;803.70
397.36;805.45
397.49;805.60
397.62;804.60
397.75;805.70
397.88;808.85
398.01;808.30
398.14;805.80
398.27;805.55
398.40;811.45
398.53;810.65
398.66;812.40
398.79;811.80
398.92;813.65
399.05;805.00
399.18;805.20
399.31;805.40
399.44;809.40
399.57;813.45
399.70;818.25
399.83;820.05
399.96;816.20
400.09;815.70
400.22;810.20
400.35;811.20
400.48;810.95
400.61;821.00
400.74;825.10
400.87;826.95
401.00;821.75
401.13;821.95
401.26;817.30
401.39;813.70
401.52;815.95
401.65;822.55
401.78;818.75
401.91;819.15
402.04;821.55
402.17;822.90
402.30;818.40
402.43;828.10
402.56;825.20
402.69;821.80
402.82;816.75
402.94;810.90
403.07;803.90
403.20;800.60
403.33;798.80
403.46;798.30
403.59;802.70
403.72;802.80
403.85;805.25
403.98;806.65
404.11;810.10
404.24;810.25
404.37;810.25
404.50;807.60
404.63;806.25
404.76;804.50
404.89;805.25
405.02;804.30
405.15;806.25
405.28;807.00
405.41;803.05
405.54;803.20
405.67;809.20
405.80;810.30
405.93;813.75
406.06;818.90
406.19;820.45
406.32;821.00
406.44;826.50
406.57;821.85
406.70;829.90
406.83;832.60
406.96;828.30
407.09;823.70
407.22;826.45
407.35;824.80
407.48;826.90
407.61;823.95
407.74;823.05
407.87;824.80
408.00;818.50
408.13;813.65
408.26;817.20
408.39;816.40
408.52;864.20
408.65;876.80
408.78;879.50
408.91;877.60
409.04;878.55
409.16;832.65
409.29;822.20
409.42;819.85
409.55;823.10
409.68;822.15
409.81;819.45
409.94;817.60
410.07;815.55
410.20;812.65
410.33;818.40
410.46;819.45
410.59;822.35
410.72;827.30
410.85;830.75
410.98;829.40
411.11;827.95
411.24;833.55
411.36;836.10
411.49;840.50
411.62;839.00
411.75;840.40
411.88;831.30
412.01;824.10
412.14;817.60
412.27;815.40
412.40;815.25
412.53;818.75
412.66;824.10
412.79;825.30
412.92;831.55
413.05;832.85
413.18;838.90
413.31;840.15
